company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,sched_dep,actual_dep,delay_min,passengers,Hot Transfer,Origin,Transfer,transfer_ratio,ssr_count,tight_ground,high_load,delay_norm,ssr_norm,bag_ratio_norm,load_norm,tight_flag,high_load_flag,difficulty_score,daily_rank,difficulty_cat
OO,4792,2025-08-04,ORD,ROA,2025-08-04T17:57:00Z,2025-08-04T21:04:00Z,2025-08-04T18:04:00Z,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,2025-08-04 17:57:00+00:00,2025-08-04 18:04:00+00:00,7.0,65,16,6,20,20.0,0.0,False,False,0.023210831721470017,0.0,0.05714285714285714,0.11764705882352941,0,0,0.041921232709718315,474.0,Easy
UA,920,2025-08-03,ORD,LHR,2025-08-03T18:05:00Z,2025-08-04T08:20:00Z,2025-08-03T18:27:00Z,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,2025-08-03 18:05:00+00:00,2025-08-03 18:27:00+00:00,22.0,171,16,90,37,37.0,1.0,False,False,0.03771760154738878,0.1111111111111111,0.10571428571428572,0.3187855787476281,0,0,0.11843747557882162,157.0,Medium
UA,1776,2025-08-10,ORD,PHL,2025-08-10T18:20:00Z,2025-08-10T21:35:00Z,2025-08-10T20:11:00Z,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,2025-08-10 18:20:00+00:00,2025-08-10 20:11:00+00:00,111.0,180,1,46,38,38.0,1.0,False,False,0.12379110251450676,0.1111111111111111,0.10857142857142857,0.33586337760910817,0,0,0.1482465142126816,91.0,Difficult
OO,5790,2025-08-06,ORD,CRW,2025-08-06T18:20:00Z,2025-08-06T21:04:00Z,2025-08-06T20:05:00Z,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,2025-08-06 18:20:00+00:00,2025-08-06 20:05:00+00:00,105.0,55,0,14,40,40.0,0.0,False,False,0.11798839458413926,0.0,0.11428571428571428,0.09867172675521822,0,0,0.07798800658342828,265.0,Medium
UA,1398,2025-08-05,ORD,ATL,2025-08-05T18:20:00Z,2025-08-05T21:29:00Z,2025-08-05T18:16:00Z,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,2025-08-05 18:20:00+00:00,2025-08-05 18:16:00+00:00,-4.0,136,0,19,51,51.0,0.0,False,False,0.012572533849129593,0.0,0.1457142857142857,0.2523719165085389,0,0,0.0833890005993038,263.0,Medium
OO,5470,2025-08-07,ORD,GEG,2025-08-07T08:40:00Z,2025-08-07T10:56:00Z,2025-08-07T08:36:00Z,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,2025-08-07 08:40:00+00:00,2025-08-07 08:36:00+00:00,-4.0,73,3,14,23,23.0,0.0,False,False,0.012572533849129593,0.0,0.06571428571428571,0.13282732447817835,0,0,0.0434800821932317,444.0,Easy
UA,374,2025-08-15,ORD,MSP,2025-08-15T16:10:00Z,2025-08-15T17:49:00Z,2025-08-15T16:38:00Z,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,2025-08-15 16:10:00+00:00,2025-08-15 16:38:00+00:00,28.0,128,2,21,60,60.0,0.0,False,False,0.043520309477756286,0.0,0.17142857142857143,0.23719165085388993,0,0,0.09478013729981916,194.0,Medium
UA,1577,2025-08-15,ORD,SFO,2025-08-15T14:40:00Z,2025-08-15T17:26:00Z,2025-08-15T14:39:00Z,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,2025-08-15 14:40:00+00:00,2025-08-15 14:39:00+00:00,-1.0,261,0,83,66,66.0,0.0,False,True,0.015473887814313345,0.0,0.18857142857142858,0.48956356736242884,0,1,0.1402691655310655,98.0,Difficult
UA,881,2025-08-03,ORD,HND,2025-08-03T12:50:00Z,2025-08-04T15:55:00Z,2025-08-03T13:15:00Z,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,2025-08-03 12:50:00+00:00,2025-08-03 13:15:00+00:00,25.0,370,15,102,231,231.0,3.0,False,True,0.04061895551257254,0.3333333333333333,0.66,0.6963946869070209,0,1,0.3501312907018426,1.0,Difficult
UA,2006,2025-08-09,ORD,GUA,2025-08-09T09:14:00Z,2025-08-09T12:45:00Z,2025-08-09T09:24:00Z,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,2025-08-09 09:14:00+00:00,2025-08-09 09:24:00+00:00,10.0,188,0,131,59,59.0,0.0,False,False,0.02611218568665377,0.0,0.16857142857142857,0.35104364326375714,0,0,0.11175667007303328,201.0,Medium
UA,307,2025-08-14,ORD,COS,2025-08-14T09:15:00Z,2025-08-14T11:08:00Z,2025-08-14T09:11:00Z,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56,2025-08-14 09:15:00+00:00,2025-08-14 09:11:00+00:00,-4.0,147,6,55,24,24.0,0.0,False,False,0.012572533849129593,0.0,0.06857142857142857,0.2732447817836812,0,0,0.07213500222576084,310.0,Medium
UA,1538,2025-08-08,ORD,SAV,2025-08-08T11:05:00Z,2025-08-08T14:34:00Z,2025-08-08T10:59:00Z,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43,2025-08-08 11:05:00+00:00,2025-08-08 10:59:00+00:00,-6.0,188,0,69,18,18.0,0.0,False,False,0.010638297872340424,0.0,0.05142857142857143,0.35104364326375714,0,0,0.08368593230016785,269.0,Medium
UA,1006,2025-08-02,ORD,LGA,2025-08-02T18:00:00Z,2025-08-02T21:20:00Z,2025-08-02T19:00:00Z,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51,2025-08-02 18:00:00+00:00,2025-08-02 19:00:00+00:00,60.0,199,4,37,32,32.0,2.0,False,False,0.07446808510638298,0.2222222222222222,0.09142857142857143,0.37191650853889946,0,0,0.1594538859698535,110.0,Medium
G7,4395,2025-08-14,ORD,TVC,2025-08-14T18:15:00Z,2025-08-14T20:38:00Z,2025-08-14T19:41:00Z,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29,2025-08-14 18:15:00+00:00,2025-08-14 19:41:00+00:00,86.0,51,3,3,31,31.0,0.0,False,False,0.09961315280464217,0.0,0.08857142857142856,0.09108159392789374,0,0,0.0658145503412571,329.0,Medium
UA,1538,2025-08-06,ORD,SAV,2025-08-06T11:05:00Z,2025-08-06T14:34:00Z,2025-08-06T10:57:00Z,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43,2025-08-06 11:05:00+00:00,2025-08-06 10:57:00+00:00,-8.0,116,0,38,31,31.0,3.0,False,False,0.008704061895551257,0.3333333333333333,0.08857142857142856,0.2144212523719165,0,0,0.12987642142400105,146.0,Medium
UA,2138,2025-08-08,ORD,LGA,2025-08-08T14:05:00Z,2025-08-08T17:27:00Z,2025-08-08T14:01:00Z,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51,2025-08-08 14:05:00+00:00,2025-08-08 14:01:00+00:00,-4.0,167,21,32,20,20.0,0.0,False,False,0.012572533849129593,0.0,0.05714285714285714,0.3111954459203036,0,0,0.07743942076737104,305.0,Medium
G7,4481,2025-08-15,ORD,GRR,2025-08-15T07:00:00Z,2025-08-15T09:07:00Z,2025-08-15T06:56:00Z,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29,2025-08-15 07:00:00+00:00,2025-08-15 06:56:00+00:00,-4.0,41,9,0,28,28.0,0.0,False,False,0.012572533849129593,0.0,0.08,0.07210626185958255,0,0,0.03419301252665539,490.0,Easy
OO,5108,2025-08-14,ORD,SLN,2025-08-14T16:45:00Z,2025-08-14T18:50:00Z,2025-08-14T16:39:00Z,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29,2025-08-14 16:45:00+00:00,2025-08-14 16:39:00+00:00,-6.0,47,3,23,15,15.0,0.0,False,False,0.010638297872340424,0.0,0.04285714285714286,0.08349146110056926,0,0,0.028461210153244553,542.0,Easy
YX,3568,2025-08-15,ORD,YYZ,2025-08-15T10:50:00Z,2025-08-15T13:42:00Z,2025-08-15T10:48:00Z,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42,2025-08-15 10:50:00+00:00,2025-08-15 10:48:00+00:00,-2.0,83,4,27,15,15.0,0.0,False,False,0.014506769825918761,0.0,0.04285714285714286,0.15180265654648956,0,0,0.043283990828502115,416.0,Medium
OO,4739,2025-08-03,ORD,GRB,2025-08-03T15:35:00Z,2025-08-03T16:48:00Z,2025-08-03T15:34:00Z,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29,2025-08-03 15:35:00+00:00,2025-08-03 15:34:00+00:00,-1.0,61,9,17,26,26.0,0.0,False,False,0.015473887814313345,0.0,0.07428571428571429,0.11005692599620494,0,0,0.04151069440067785,461.0,Easy
UA,664,2025-08-02,ORD,LGA,2025-08-02T16:00:00Z,2025-08-02T19:20:00Z,2025-08-02T16:01:00Z,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51,2025-08-02 16:00:00+00:00,2025-08-02 16:01:00+00:00,1.0,198,0,65,29,29.0,1.0,False,False,0.017408123791102514,0.1111111111111111,0.08285714285714285,0.37001897533206835,0,0,0.11801988299739523,230.0,Medium
OO,5517,2025-08-04,ORD,PVD,2025-08-04T18:15:00Z,2025-08-04T21:54:00Z,2025-08-04T18:14:00Z,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34,2025-08-04 18:15:00+00:00,2025-08-04 18:14:00+00:00,-1.0,78,1,13,31,31.0,0.0,False,False,0.015473887814313345,0.0,0.08857142857142856,0.14231499051233396,0,0,0.05081945016104651,407.0,Medium
UA,1156,2025-08-08,ORD,MSY,2025-08-08T19:55:00Z,2025-08-08T22:25:00Z,2025-08-08T20:14:00Z,2025-08-08T22:35:00Z,179,B737-900,Mainline,62,61,56,2025-08-08 19:55:00+00:00,2025-08-08 20:14:00+00:00,19.0,215,7,43,71,71.0,0.0,False,False,0.03481624758220503,0.0,0.20285714285714285,0.40227703984819735,0,0,0.13147171081572956,124.0,Medium
G7,4387,2025-08-06,ORD,CID,2025-08-06T09:20:00Z,2025-08-06T10:40:00Z,2025-08-06T09:05:00Z,2025-08-06T10:30:00Z,50,CRJ-550,Express,75,73,29,2025-08-06 09:20:00+00:00,2025-08-06 09:05:00+00:00,-15.0,67,0,4,38,38.0,0.0,False,False,0.001934235976789168,0.0,0.10857142857142857,0.12144212523719165,0,0,0.0465829815547608,377.0,Medium
UA,1361,2025-08-11,ORD,STL,2025-08-11T21:20:00Z,2025-08-11T22:45:00Z,2025-08-11T21:40:00Z,2025-08-11T23:34:00Z,126,A319-100,Mainline,60,52,43,2025-08-11 21:20:00+00:00,2025-08-11 21:40:00+00:00,20.0,137,23,4,71,71.0,2.0,False,False,0.035783365570599614,0.2222222222222222,0.20285714285714285,0.25426944971537,0,0,0.1466047726301269,63.0,Difficult
UA,2323,2025-08-03,ORD,MCO,2025-08-03T09:15:00Z,2025-08-03T13:10:00Z,2025-08-03T09:09:00Z,2025-08-03T12:48:00Z,200,A321-2NX,Mainline,97,99,62,2025-08-03 09:15:00+00:00,2025-08-03 09:09:00+00:00,-6.0,297,0,144,27,27.0,1.0,False,True,0.010638297872340424,0.1111111111111111,0.07714285714285714,0.5578747628083491,0,1,0.15241723557416562,86.0,Difficult
OO,5229,2025-08-13,ORD,ILM,2025-08-13T11:59:00Z,2025-08-13T15:24:00Z,2025-08-13T11:54:00Z,2025-08-13T14:59:00Z,76,ERJ-175,Express,47,39,34,2025-08-13 11:59:00+00:00,2025-08-13 11:54:00+00:00,-5.0,62,1,12,10,10.0,0.0,False,False,0.011605415860735008,0.0,0.02857142857142857,0.11195445920303605,0,0,0.03158680231311343,500.0,Easy
YX,3700,2025-08-02,ORD,BNA,2025-08-02T07:25:00Z,2025-08-02T09:13:00Z,2025-08-02T07:40:00Z,2025-08-02T09:15:00Z,76,ERJ-175,Express,5,33,34,2025-08-02 07:25:00+00:00,2025-08-02 07:40:00+00:00,15.0,80,3,21,26,26.0,0.0,True,False,0.03094777562862669,0.0,0.07428571428571429,0.14611005692599618,1,0,0.1533634869309301,126.0,Medium
